Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1990","1990","ha","151116","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1991","1991","ha","187092","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1992","1992","ha","332896","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1993","1993","ha","436351","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1994","1994","ha","303196","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1995","1995","ha","300000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1996","1996","ha","325595","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1997","1997","ha","350177","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1998","1998","ha","367606","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","1999","1999","ha","367548","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2000","2000","ha","344434","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2001","2001","ha","569271","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2002","2002","ha","547028","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2003","2003","ha","476618","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2004","2004","ha","410573","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2005","2005","ha","446931","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2006","2006","ha","473089","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2007","2007","ha","565415","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2008","2008","ha","604281","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2009","2009","ha","573321","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2010","2010","ha","569600","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2011","2011","ha","693534","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2012","2012","ha","693700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2013","2013","ha","696692","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2014","2014","ha","738353","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2015","2015","ha","683055","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2016","2016","ha","884000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2017","2017","ha","1546000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2018","2018","ha","1564000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","711","Anise, badian, fennel, coriander","2019","2019","ha","1587000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1990","1990","ha","187198","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1991","1991","ha","193638","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1992","1992","ha","194561","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1993","1993","ha","191256","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1994","1994","ha","200000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1995","1995","ha","210000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1996","1996","ha","217099","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1997","1997","ha","222700","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1998","1998","ha","227680","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","1999","1999","ha","231000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2000","2000","ha","230000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2001","2001","ha","240000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2002","2002","ha","240000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2003","2003","ha","250000","","Official data"
"QCL","Crops and livestock products","100","India","5312","Area harvested","515","Apples","2004","2004","ha","201200","","Official data"
