Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","1990","1990","hg/ha","5912","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","1991","1991","hg/ha","4797","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","1992","1992","hg/ha","4632","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","1993","1993","hg/ha","4117","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","1994","1994","hg/ha","3589","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","1995","1995","hg/ha","3667","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","1996","1996","hg/ha","4039","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","1997","1997","hg/ha","4253","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","1998","1998","hg/ha","4381","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","1999","1999","hg/ha","4709","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2000","2000","hg/ha","4840","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2001","2001","hg/ha","4303","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2002","2002","hg/ha","2968","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2003","2003","hg/ha","5345","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2004","2004","hg/ha","5531","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2005","2005","hg/ha","5844","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2006","2006","hg/ha","5681","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2007","2007","hg/ha","7013","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2008","2008","hg/ha","6575","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2009","2009","hg/ha","6844","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2010","2010","hg/ha","7367","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2011","2011","hg/ha","7747","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2012","2012","hg/ha","7746","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2013","2013","hg/ha","7840","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2014","2014","hg/ha","7909","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2015","2015","hg/ha","7993","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2016","2016","hg/ha","7149","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2017","2017","hg/ha","9890","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2018","2018","hg/ha","9610","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","711","Anise, badian, fennel, coriander","2019","2019","hg/ha","9124","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1990","1990","hg/ha","58435","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1991","1991","hg/ha","60680","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1992","1992","hg/ha","58991","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1993","1993","hg/ha","61083","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1994","1994","hg/ha","65000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1995","1995","hg/ha","57143","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1996","1996","hg/ha","55798","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1997","1997","hg/ha","58751","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1998","1998","hg/ha","58002","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","1999","1999","hg/ha","59740","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2000","2000","hg/ha","45652","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2001","2001","hg/ha","51250","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2002","2002","hg/ha","48333","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2003","2003","hg/ha","58800","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2004","2004","hg/ha","75626","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2005","2005","hg/ha","75379","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2006","2006","hg/ha","80053","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2007","2007","hg/ha","64444","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2008","2008","hg/ha","75795","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2009","2009","hg/ha","72445","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2010","2010","hg/ha","62821","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2011","2011","hg/ha","100000","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2012","2012","hg/ha","68450","Fc","Calculated data"
"QCL","Crops and livestock products","100","India","5419","Yield","515","Apples","2013","2013","hg/ha","61378","Fc","Calculated data"
