Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1990","1990","tonnes","7565500","X","International reliable sources"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1991","1991","tonnes","8046272","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1992","1992","tonnes","8426735","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1993","1993","tonnes","8778871","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1994","1994","tonnes","9507169","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1995","1995","tonnes","9822852","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1996","1996","tonnes","10315919","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1997","1997","tonnes","10901899","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1998","1998","tonnes","11353755","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1999","1999","tonnes","11586250","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2000","2000","tonnes","10920200","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2001","2001","tonnes","11310175","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2002","2002","tonnes","10469210","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2003","2003","tonnes","11077861","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2004","2004","tonnes","11712729","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2005","2005","tonnes","12723910","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2006","2006","tonnes","13760868","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2007","2007","tonnes","14417665","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2008","2008","tonnes","14863815","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2009","2009","tonnes","15558372","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2010","2010","tonnes","16450653","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2011","2011","tonnes","17367540","Qm","Official data from questionnaires and/or national sources and/or COMTRADE (reporters)"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2012","2012","tonnes","16820900","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2013","2013","tonnes","16750100","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2014","2014","tonnes","16949600","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2015","2015","tonnes","17372300","P","Provisional official data"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2016","2016","tonnes","16735400","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2017","2017","tonnes","16958000","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2018","2018","tonnes","17628200","W","Data reported on country official publications or web sites (Official) or trade country files"
"RFN","Fertilizers by Nutrient","100","India","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","2019","2019","tonnes","18863900","P","Provisional official data"
