CropItem,Year,AreaHarvested(ha)
"Anise, badian, fennel, coriander",1990,151116.0
"Anise, badian, fennel, coriander",1991,187092.0
"Anise, badian, fennel, coriander",1992,332896.0
"Anise, badian, fennel, coriander",1993,436351.0
"Anise, badian, fennel, coriander",1994,303196.0
"Anise, badian, fennel, coriander",1995,300000.0
"Anise, badian, fennel, coriander",1996,325595.0
"Anise, badian, fennel, coriander",1997,350177.0
"Anise, badian, fennel, coriander",1998,367606.0
"Anise, badian, fennel, coriander",1999,367548.0
"Anise, badian, fennel, coriander",2000,344434.0
"Anise, badian, fennel, coriander",2001,569271.0
"Anise, badian, fennel, coriander",2002,547028.0
"Anise, badian, fennel, coriander",2003,476618.0
"Anise, badian, fennel, coriander",2004,410573.0
"Anise, badian, fennel, coriander",2005,446931.0
"Anise, badian, fennel, coriander",2006,473089.0
"Anise, badian, fennel, coriander",2007,565415.0
"Anise, badian, fennel, coriander",2008,604281.0
"Anise, badian, fennel, coriander",2009,573321.0
"Anise, badian, fennel, coriander",2010,569600.0
"Anise, badian, fennel, coriander",2011,693534.0
"Anise, badian, fennel, coriander",2012,693700.0
"Anise, badian, fennel, coriander",2013,696692.0
"Anise, badian, fennel, coriander",2014,738353.0
"Anise, badian, fennel, coriander",2015,683055.0
"Anise, badian, fennel, coriander",2016,884000.0
"Anise, badian, fennel, coriander",2017,1546000.0
"Anise, badian, fennel, coriander",2018,1564000.0
"Anise, badian, fennel, coriander",2019,1587000.0
Apples,1990,187198.0
Apples,1991,193638.0
Apples,1992,194561.0
Apples,1993,191256.0
Apples,1994,200000.0
Apples,1995,210000.0
Apples,1996,217099.0
Apples,1997,222700.0
Apples,1998,227680.0
Apples,1999,231000.0
Apples,2000,230000.0
Apples,2001,240000.0
Apples,2002,240000.0
Apples,2003,250000.0
Apples,2004,201200.0
Apples,2005,230700.0
Apples,2006,226600.0
Apples,2007,252000.0
Apples,2008,264000.0
Apples,2009,274000.0
Apples,2010,282900.0
Apples,2011,289100.0
Apples,2012,321900.0
Apples,2013,312000.0
Apples,2014,313040.0
Apples,2015,319000.0
Apples,2016,277000.0
Apples,2017,305000.0
Apples,2018,301000.0
Apples,2019,308000.0
Apricots,1990,2000.0
Apricots,1991,2100.0
Apricots,1992,2200.0
Apricots,1993,2300.0
Apricots,1994,2400.0
Apricots,1995,2519.0
Apricots,1996,2727.0
Apricots,1997,2805.0
Apricots,1998,2919.0
Apricots,1999,3279.0
Apricots,2000,3466.0
Apricots,2001,3514.0
