CropItem,Year,QtyProduced(tonnes)
"Anise, badian, fennel, coriander",1990,89343.0
"Anise, badian, fennel, coriander",1991,89749.0
"Anise, badian, fennel, coriander",1992,154200.0
"Anise, badian, fennel, coriander",1993,179637.0
"Anise, badian, fennel, coriander",1994,108812.0
"Anise, badian, fennel, coriander",1995,110000.0
"Anise, badian, fennel, coriander",1996,131516.0
"Anise, badian, fennel, coriander",1997,148917.0
"Anise, badian, fennel, coriander",1998,161065.0
"Anise, badian, fennel, coriander",1999,173088.0
"Anise, badian, fennel, coriander",2000,166692.0
"Anise, badian, fennel, coriander",2001,244943.0
"Anise, badian, fennel, coriander",2002,162362.0
"Anise, badian, fennel, coriander",2003,254737.0
"Anise, badian, fennel, coriander",2004,227099.0
"Anise, badian, fennel, coriander",2005,261170.0
"Anise, badian, fennel, coriander",2006,268776.0
"Anise, badian, fennel, coriander",2007,396517.0
"Anise, badian, fennel, coriander",2008,397286.0
"Anise, badian, fennel, coriander",2009,392379.0
"Anise, badian, fennel, coriander",2010,419600.0
"Anise, badian, fennel, coriander",2011,537277.0
"Anise, badian, fennel, coriander",2012,537330.0
"Anise, badian, fennel, coriander",2013,546173.0
"Anise, badian, fennel, coriander",2014,584000.0
"Anise, badian, fennel, coriander",2015,546000.0
"Anise, badian, fennel, coriander",2016,632000.0
"Anise, badian, fennel, coriander",2017,1529000.0
"Anise, badian, fennel, coriander",2018,1503000.0
"Anise, badian, fennel, coriander",2019,1448000.0
Apples,1990,1093900.0
Apples,1991,1175005.0
Apples,1992,1147743.0
Apples,1993,1168252.0
Apples,1994,1300000.0
Apples,1995,1200000.0
Apples,1996,1211379.0
Apples,1997,1308390.0
Apples,1998,1320590.0
Apples,1999,1380000.0
Apples,2000,1050000.0
Apples,2001,1230000.0
Apples,2002,1160000.0
Apples,2003,1470000.0
Apples,2004,1521600.0
Apples,2005,1739000.0
Apples,2006,1814000.0
Apples,2007,1624000.0
Apples,2008,2001000.0
Apples,2009,1985000.0
Apples,2010,1777200.0
Apples,2011,2891000.0
Apples,2012,2203400.0
Apples,2013,1915000.0
Apples,2014,2497680.0
Apples,2015,2134000.0
Apples,2016,2521000.0
Apples,2017,2265000.0
Apples,2018,2327000.0
Apples,2019,2316000.0
Apricots,1990,6000.0
Apricots,1991,6200.0
Apricots,1992,6500.0
Apricots,1993,6800.0
Apricots,1994,7000.0
Apricots,1995,7300.0
Apricots,1996,7900.0
Apricots,1997,8100.0
Apricots,1998,8400.0
Apricots,1999,9400.0
Apricots,2000,9900.0
Apricots,2001,10000.0
Apricots,2002,10216.0
Apricots,2003,10530.0
Apricots,2004,10908.0
Apricots,2005,11332.0
Apricots,2006,11847.0
Apricots,2007,12317.0
Apricots,2008,12889.0
Apricots,2009,13292.0
Apricots,2010,13645.0
Apricots,2011,13929.0
Apricots,2012,14149.0
Apricots,2013,14155.0
Apricots,2014,14116.0
Apricots,2015,14186.0
Apricots,2016,15280.0
Apricots,2017,15541.0
Apricots,2018,15843.0
Apricots,2019,16145.0
Areca nuts,1990,251300.0
Areca nuts,1991,238500.0
Areca nuts,1992,243200.0
Areca nuts,1993,256300.0
Areca nuts,1994,271100.0
Areca nuts,1995,289700.0
Areca nuts,1996,295500.0
Areca nuts,1997,307700.0
Areca nuts,1998,333900.0
Areca nuts,1999,310000.0
Areca nuts,2000,330000.0
Areca nuts,2001,330000.0
Areca nuts,2002,400000.0
Areca nuts,2003,415900.0
Areca nuts,2004,439200.0
Areca nuts,2005,452700.0
Areca nuts,2006,483100.0
Areca nuts,2007,483300.0
Areca nuts,2008,476000.0
Areca nuts,2009,481300.0
Areca nuts,2010,478000.0
Areca nuts,2011,478000.0
Areca nuts,2012,681000.0
Areca nuts,2013,609000.0
Areca nuts,2014,622000.0
Areca nuts,2015,747000.0
Areca nuts,2016,714000.0
Areca nuts,2017,723000.0
Areca nuts,2018,833000.0
Areca nuts,2019,901000.0
Bananas,1990,7153000.0
Bananas,1991,7853100.0
Bananas,1992,8523000.0
Bananas,1993,9945000.0
Bananas,1994,10686000.0
Bananas,1995,10182000.0
Bananas,1996,10299000.0
Bananas,1997,13340000.0
Bananas,1998,15100000.0
Bananas,1999,16810000.0
Bananas,2000,14137300.0
Bananas,2001,14209900.0
Bananas,2002,13304400.0
Bananas,2003,13856600.0
