Year,Nitrogen_tonnes,Potash_tonnes,Phosphate_tonnes,Nutrients(tonnes)
1990,7565500,1328000,3124500,12018000
1991,8046272,1360600,3321213,12728085
1992,8426735,883900,2843774,12154409
1993,8778871,937100,2669300,12385271
1994,9507169,1124800,2931700,13563669
1995,9822852,1155850,2897533,13876235
1996,10315919,1043144,2978978,14338041
1997,10901899,1372487,3913600,16187986
1998,11353755,1331549,4112200,16797504
1999,11586250,1674230,4796250,18056730
2000,10920200,1567500,4214600,16702300
2001,11310175,1669017,4365119,17344311
2002,10469210,1597647,4029134,16095991
2003,11077861,1597439,4131912,16807212
2004,11712729,2060796,4633145,18406670
2005,12723910,2413504,5209967,20347381
2006,13760868,2331051,5550200,21642119
2007,14417665,2635371,5518072,22571108
2008,14863815,3312802,6051820,24228437
2009,15558372,3638144,7249010,26445526
2010,16450653,3463818,8195773,28110244
2011,17367540,2596512,8409634,28373686
2012,16820900,2061800,6653400,25536100
2013,16750100,2098900,5633500,24482500
2014,16949600,2532900,6098900,25581400
2015,17372300,2401500,6978800,26752600
2016,16735400,2508300,6705400,25949100
2017,16958000,2778800,6854100,26590900
2018,17628200,2779100,6967900,27375200
2019,18863900,2640900,7464800,28969600
