,Year,SyntheticFert(tonnes)
0,1990,10591700
1,1991,11264780
2,1992,11797429
3,1993,12290419
4,1994,13310036
5,1995,13751992
6,1996,14442286
7,1997,15262658
8,1998,15895257
9,1999,16220750
10,2000,15288280
11,2001,15834245
12,2002,14656894
13,2003,15509005
14,2004,16397820
15,2005,17813474
16,2006,19265215
17,2007,20184731
18,2008,20809341
19,2009,21781720
20,2010,23030914
21,2011,24314556
22,2012,23549260
23,2013,23450140
24,2014,23729440
25,2015,24321220
26,2016,23429560
27,2017,23741200
28,2018,24679480
29,2019,23950080
