Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","1990","1990","1000 ha","49500","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","1991","1991","1000 ha","49700","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","1992","1992","1000 ha","49900","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","1993","1993","1000 ha","50101","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","1994","1994","1000 ha","51577","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","1995","1995","1000 ha","53053","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","1996","1996","1000 ha","54529","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","1997","1997","1000 ha","56005","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","1998","1998","1000 ha","57480","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","1999","1999","1000 ha","58956","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2000","2000","1000 ha","60432","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2001","2001","1000 ha","61908","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2002","2002","1000 ha","62593","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2003","2003","1000 ha","63277","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2004","2004","1000 ha","63962","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2005","2005","1000 ha","64646","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2006","2006","1000 ha","65209","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2007","2007","1000 ha","65771","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2008","2008","1000 ha","66334","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2009","2009","1000 ha","67700","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2010","2010","1000 ha","67700","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2011","2011","1000 ha","67800","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2012","2012","1000 ha","69586","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2013","2013","1000 ha","69748.8","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2014","2014","1000 ha","69911.6","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2015","2015","1000 ha","70074.4","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2016","2016","1000 ha","70237.2","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2017","2017","1000 ha","70400","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2018","2018","1000 ha","70400","Fm","Manual Estimation"
"RL","Land Use","100","India","5110","Area","6690","Land area equipped for irrigation","2019","2019","1000 ha","70400","Fm","Manual Estimation"
