Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","1990","1990","tonnes","89343","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","1991","1991","tonnes","89749","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","1992","1992","tonnes","154200","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","1993","1993","tonnes","179637","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","1994","1994","tonnes","108812","*","Unofficial figure"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","1995","1995","tonnes","110000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","1996","1996","tonnes","131516","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","1997","1997","tonnes","148917","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","1998","1998","tonnes","161065","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","1999","1999","tonnes","173088","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2000","2000","tonnes","166692","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2001","2001","tonnes","244943","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2002","2002","tonnes","162362","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2003","2003","tonnes","254737","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2004","2004","tonnes","227099","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2005","2005","tonnes","261170","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2006","2006","tonnes","268776","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2007","2007","tonnes","396517","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2008","2008","tonnes","397286","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2009","2009","tonnes","392379","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2010","2010","tonnes","419600","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2011","2011","tonnes","537277","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2012","2012","tonnes","537330","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2013","2013","tonnes","546173","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2014","2014","tonnes","584000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2015","2015","tonnes","546000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2016","2016","tonnes","632000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2017","2017","tonnes","1529000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2018","2018","tonnes","1503000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","711","Anise, badian, fennel, coriander","2019","2019","tonnes","1448000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1990","1990","tonnes","1093900","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1991","1991","tonnes","1175005","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1992","1992","tonnes","1147743","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1993","1993","tonnes","1168252","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1994","1994","tonnes","1300000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1995","1995","tonnes","1200000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1996","1996","tonnes","1211379","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1997","1997","tonnes","1308390","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1998","1998","tonnes","1320590","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","1999","1999","tonnes","1380000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2000","2000","tonnes","1050000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2001","2001","tonnes","1230000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2002","2002","tonnes","1160000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2003","2003","tonnes","1470000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2004","2004","tonnes","1521600","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2005","2005","tonnes","1739000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2006","2006","tonnes","1814000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2007","2007","tonnes","1624000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2008","2008","tonnes","2001000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2009","2009","tonnes","1985000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2010","2010","tonnes","1777200","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2011","2011","tonnes","2891000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2012","2012","tonnes","2203400","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2013","2013","tonnes","1915000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2014","2014","tonnes","2497680","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2015","2015","tonnes","2134000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2016","2016","tonnes","2521000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2017","2017","tonnes","2265000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2018","2018","tonnes","2327000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","515","Apples","2019","2019","tonnes","2316000","","Official data"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1990","1990","tonnes","6000","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1991","1991","tonnes","6200","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1992","1992","tonnes","6500","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1993","1993","tonnes","6800","F","FAO estimate"
"QCL","Crops and livestock products","100","India","5510","Production","526","Apricots","1994","1994","tonnes","7000","F","FAO estimate"
